"","date","AT","BE","BG","CH","CZ","DE","DK","EE","ES","FI","FR","GR","HR","HU","IE","IT","LV","NL","NO","PL","PT","RO","SE","SI","SK"
"551",2016-07-04,6775.45833333333,9572.16666666667,3954.375,6601.15541666667,6166.64333333333,55769.5416666667,3463.99333333333,799.620833333333,30474.25,8377.1375,47030.0416666667,6938.16666666667,2004.5,4755.41666666667,2864.625,37153,751.583333333333,12829.7083333333,11870.58875,17837.43375,5843.7125,6474.625,12869.6666666667,1401.76291666667,3022.75
"552",2016-07-05,6962.08333333333,9595.70833333333,3893.625,6843.35166666667,5803.0525,58216.7916666667,3638.49208333333,804.570833333333,31419.8333333333,8394.78333333333,47924.8333333333,7135.91666666667,2068.41666666667,4922.16666666667,2932.66666666667,38881.0416666667,752.25,13092.875,12185.8158333333,18501.3533333333,5977.89166666667,6532.625,13061.25,1478.96916666667,2939.875
"553",2016-07-06,6951.70833333333,9567.41666666667,3916.41666666667,6896.37291666667,5829.93125,58204.9166666667,3467.83166666667,806.258333333333,31644,8350.675,48237.875,7086.04166666667,2063.58333333333,4923.33333333333,2985.45833333333,38976.6666666667,753.333333333333,12744.1666666667,11881.07125,18038.9441666667,6010.125,6603.54166666667,12850.1666666667,1500.63875,3151.83333333333
"554",2016-07-07,6932.75,9709.58333333333,3885.41666666667,6596.0825,6644.46625,56855.4583333333,3447.04375,820.083333333333,31162.125,8386.59583333333,48781.25,6834.70833333333,2032.83333333333,4838.83333333333,2967.33333333333,39287.375,745.708333333333,12820.5416666667,11850.1941666667,18142.7691666667,6011.9625,6479.875,12864.875,1472.79416666667,3158.66666666667
"555",2016-07-08,6857.91666666667,9494.29166666667,3862.08333333333,6624.77833333333,6652.05125,56822.25,3454.13041666667,801.454166666667,31451.9166666667,8295.03333333333,48253.625,6688.125,2076.58333333333,4851.33333333333,2911.58333333333,39476.2916666667,729.541666666667,13080,11456.9670833333,18410.7279166667,5965.6625,6382.33333333333,12441.1666666667,1483.25541666667,3159.08333333333
"556",2016-07-09,5915.91666666667,8397.75,3646.70833333333,6162.27083333333,5870.42625,47740.5416666667,2851.4525,693.766666666667,28602.1666666667,7670.62083333333,43273.1666666667,6420.70833333333,1972.79166666667,4383.29166666667,2705.91666666667,32812,645.958333333333,11262.5833333333,10733.6829166667,16093.1095833333,5299.275,6003.70833333333,10962.0833333333,1323.01125,2919.58333333333
"557",2016-07-10,5434.875,8032.95833333333,3613.41666666667,6071.2675,5873.46416666667,44388,2965.75375,678.1375,26766.6666666667,7452.65,40618.5416666667,6222.33333333333,1913.16666666667,4193.79166666667,2576.70833333333,29518.3333333333,626.166666666667,10709.7916666667,10510.0904166667,14762.9395833333,4886.82916666667,5484.70833333333,11106.4583333333,1235.37458333333,2798.125
"558",2016-07-11,7099.91666666667,9320.29166666667,3901.875,6863.42291666667,7095.03625,57290.3333333333,3430.78125,781.195833333333,32401.7916666667,8056.97916666667,47554.7083333333,6863.75,2237.29166666667,4993.375,2881.54166666667,36400.125,752.583333333333,13021.3333333333,11184.9079166667,18477.94125,5762.67083333333,6538.91666666667,12222.5,1519.37958333333,3178.20833333333
"559",2016-07-12,7335.45833333333,9525,3963.25,6860.86791666667,7098.32875,57486.7916666667,3383.66291666667,761.625,32239.9166666667,7963.5875,47783.0833333333,7007.33333333333,2325.83333333333,5209.375,2930.83333333333,41655.9166666667,764.791666666667,13069.375,11168.9120833333,19137.2529166667,5849.63333333333,6732.25,12161.7083333333,1564.18375,3219.33333333333
"560",2016-07-13,7156.08333333333,9462,4057.79166666667,6665.3475,7044.72041666667,56537.25,3356.48208333333,777.1625,30911.0833333333,7994.9125,46664.5416666667,7400.875,2299.08333333333,5189.08333333333,2942,40603.7083333333,753.875,12971,11132.5825,18961.6916666667,5898.14166666667,6784.5,12206.875,1551.815,3191.45833333333
"561",2016-07-14,6963.125,9383.54166666667,4155.125,6995.78583333333,6977.97708333333,57050.3333333333,3458.18583333333,788.416666666667,30396.4583333333,8015.6125,40342.2916666667,7731.58333333333,2069.83333333333,4818.45833333333,2947.08333333333,37798.7916666667,749.166666666667,12876.125,11267.5870833333,18345.6920833333,6075.825,6917.75,12149.125,1472.66458333333,3116.75
"562",2016-07-15,6764.08333333333,9200.83333333333,4079.45833333333,6477.39875,6710.61666666667,55699.0833333333,3208.44791666667,791.375,29930.9583333333,8253.625,43559.2916666667,7731.04166666667,1932.45833333333,4644.5,2964.875,35711.6666666667,737.458333333333,12660.625,11237.0279166667,18027.9291666667,6164.7125,6744.45833333333,11716.5,1441.60666666667,3070
"563",2016-07-16,5838.41666666667,8345.5,3743.79166666667,5733.57083333333,5805.615,46611.2083333333,2805.0975,669.1,26951.0416666667,7579.525,41010.7916666667,6661.04166666667,1792.54166666667,4225.33333333333,2701.66666666667,28882.875,647.791666666667,11352.2083333333,10589.5904166667,16241.7766666667,5445.89166666667,6169.29166666667,10704.5,1282.66333333333,2844.41666666667
"564",2016-07-17,5372.5,7998,3622.20833333333,5562.01333333333,5769.84541666667,43489.0833333333,2752.1125,662.795833333333,25142.9166666667,7428.62916666667,39285.25,6086.45833333333,1683.83333333333,3913.58333333333,2569.16666666667,25350.2916666667,630.75,10554.875,10448.0454166667,14730.4533333333,5068.86666666667,5572.45833333333,10665.0416666667,1172.07041666667,2740.66666666667
"565",2016-07-18,6830.625,9141.25,3801.83333333333,6229.60041666667,6889.16416666667,55820.375,3144.82291666667,770.841666666667,30874.25,8122.25833333333,47871.875,6517.29166666667,1988.16666666667,4526.58333333333,2973.33333333333,35838.2916666667,739.5,12924.3333333333,11212.4225,17848.0066666667,6062.55416666667,6407.625,11655.125,1423.60625,3046.20833333333
"566",2016-07-19,6884.04166666667,9195.33333333333,3892.75,6341.48916666667,6974.15958333333,57208,3197.63666666667,781.316666666667,31860.875,8035.09583333333,49485.9166666667,6557.33333333333,2090,4638.33333333333,3045.625,38311.0833333333,746.541666666667,13395.25,10325.21625,18386.4158333333,6118.075,6521.04166666667,11522.1666666667,1480.53333333333,3092.58333333333
